name,author
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig
Business Model Generation, Yves Pigneur Alexander Osterwalder
How to build a billion dollar app, George Berkowski
Creativity Inc, Ed Catmull
Originals, Adam Grant
The Soul of a New Machine, Tracy Kidder
Thinking Fast and Slow, Daniel Kahneman
Don't make me think, Steve Krug
What do you care what other people think, Richard Feynman
The Design of Everyday things, Don Norman
Energy, Vaclav Smil
Six Not so easy pieces, Richard Feynman
Surely You're Joking, Mr. Feynman!, Richard Feynman
The Pleasure of Finding out things, Richard Feynman
The Idea factory, Jon Gertner
World Order, Henry Kissinger
The Art of Creative Thinking, Rod Judkins
The Great Gatsby, F. Scott Fitzgerald
Don't say Yes if you want to say No, Jean Baer Herbert Fensterheim Ph. D.
Beyound the Lines, Kuldip Nayar
Function in English, J. A. Blundell Jonathan, Higgens, N. M. G. Middlemiss
Mathematical Handbook Elementary Mathematics, M. Vygodsky
Panchatantra, Vishnu Sharma
The Complete Short Stories, Franz Kakfa
Edison: A Life of Invention, Paul Israel
The Beginning of Infinity: Explanations That Transform the World, David Deutsch
What is Life?, Schrodinger
Brilliant Blunders: From Darwin to Einstein, Mario Liovio
The Innovators: How a Group of Inventors, Hackers, Geniuses and Geeks Created the Digital Revolution, Walter Isaacson
Genome: The Autobiography of a Species in 23 Chapters, Matt Ridley
Shapes, Space, and Symmetry, Alan Holden
Without fear: Life and trail of Bhagat Singh, Kuldip Nayar
Mathematics: The Loss of Certainity, Morris Kline
Value Proposition Design: How to Create Products and Services Customers Want, Y. Pigneur, G. Bernarda, A. Smith, T.Papadakos Alex Osterwalder
Mathematics for the Non-mathematician,Morris Kline
The Gene, Siddarth Murkarjee
The Law of medicine, Siddarth Murkarjee
How the other half thinks, Sherman K Stein 
The men of mathematics, Bell
When breathe become air, Paul Kalanithi
Shoe Dog, Phil Knight
How not be wrong, Jordan Ellenberg
The Decoded Company, Aaron Goldstein, Jay Goldman, Leerom Segal, and Rahaf Harfoush
Why nations fail, Daron Acemoglu and James A. Robinson
String Theory, David Foster Wallace
The Queens of Hastinapur, Sarath Komarraju
Well-Designed: How to Use Empathy to Create Products People, Jon Kolko
Emotional Agility, Susan David
Better: A Surgeon's Notes On Performance, Atul Gawande 
Complications: Notes from the Life of a Young Surgeon, Atul Gawande
Being Mortal: Medicine and What Matters in the End, Atul Gawande
The Checklist Manifesto: How to Get Things Right, Atul Gawande
Homo Deus: A Brief History of Tomorrow, Yuval Noah Harari
How to Solve it: A New Aspect of Mathematical Method, George Pólya
Sapiens, Yuval Noah Harari
Superintelligence: Paths, Dangers, Strategies, Nick Bostrom
Hooked: How to Build Habit-Forming Products, Nir Eyal
I Do What I Do, Raghuram Rajan
Deep Learning, Ian Goodfellow, Aaron Courville, and Yoshua Bengio
The One Thing, Gary W. Keller and Jay Papasan
The Complete Works of Shakespeare, William Shakespeare
Zero to One, Blake Masters and Peter Thiel
Art of War, Sun Tzu
The Colossal Book of Mathematics – Classic Puzzles Paradoxes & Problems, Martin Gardner
